Ort;Name;Stadt/Landkreis;Bundesland
HA;HAgen;Stadt Hagen;Nordrhein-Westfalen
HAB;HAmmelBurg;Landkreis Bad Kissingen;Bayern
HAL;HALle;Stadt Halle (Saale);Sachsen-Anhalt
HAM;HAMm;Stadt Hamm;Nordrhein-Westfalen
HAS;HASsfurt;Landkreis Haßberge;Bayern
HB;Hansestadt Bremen;Stadt Bremen, Senat und Bürgerschaft, Stadt Bremerhaven (A–Z 1000–9999);Bremen
HBN;HildBurghauseN;Landkreis Hildburghausen;Thüringen
HBS;HalBerStadt;Landkreis Harz;Sachsen-Anhalt
HC;HainiChen;Landkreis Mittelsachsen;Sachsen
HCH;HeCHingen;Zollernalbkreis, Landkreis Freudenstadt (YQ, QY, YV, VY und ZQ 100 bis 999);Baden-Württemberg
HD;HeiDelberg;Stadt Heidelberg, Rhein-Neckar-Kreis (AA–ZZ 100–9999);Baden-Württemberg
HDH;HeiDenHeim;Landkreis Heidenheim;Baden-Württemberg
HDL;HalDensLeben;Landkreis Börde;Sachsen-Anhalt
HE;HElmstedt;Landkreis Helmstedt;Niedersachsen
HEB;HErsBruck;Landkreis Nürnberger Land;Bayern
HEF;HErsFeld;Landkreis Hersfeld-Rotenburg;Hessen
HEI;HEIde;Kreis Dithmarschen;Schleswig-Holstein
HEL;HEssischer Landtag;Hessen, Landesregierung und Landtag;Hessen
HER;HERne;Stadt Herne;Nordrhein-Westfalen
HET;HETtstedt;Landkreis Mansfeld-Südharz;Sachsen-Anhalt
HF;HerFord;Kreis Herford;Nordrhein-Westfalen
HG;HomburG;Hochtaunuskreis;Hessen
HGN;HaGeNow;Landkreis Ludwigslust-Parchim;Mecklenburg-Vorpommern
HGW;Hansestadt GreifsWald;Stadt Greifswald (große kreisangehörige Stadt im Landkreis Vorpommern-Greifswald);Mecklenburg-Vorpommern
HH;Hansestadt Hamburg;Freie und Hansestadt Hamburg, Senat und Bürgerschaft;Hamburg
HHM;HoHenMölsen;Burgenlandkreis;Sachsen-Anhalt
HI;HIldesheim;Landkreis Hildesheim;Niedersachsen
HIG;HeilIGenstadt;Landkreis Eichsfeld;Thüringen
HIP;HIlPoltstein;Landkreis Roth;Bayern
HK;HeideKreis;Landkreis Heidekreis;Niedersachsen
HL;Hansestadt Lübeck;Stadt Lübeck;Schleswig-Holstein
HM;HaMeln;Landkreis Hameln-Pyrmont;Niedersachsen
HMÜ;Hann. MÜnden;Landkreis Göttingen ohne die Stadt Göttingen;Niedersachsen
HN;HeilbronN;Stadt Heilbronn, Landkreis Heilbronn (AA–MZ 100–9999 und NA–ZZ 100–999);Baden-Württemberg
HO;HOf;Stadt Hof, Landkreis Hof (AA–ZZ 100–9999);Bayern
HOG;HOfGeismar;Landkreis Kassel;Hessen
HOH;HOfHeim;Landkreis Haßberge;Bayern
HOL;HOLzminden;Landkreis Holzminden;Niedersachsen
HOM;HOMburg;Saarpfalz-Kreis ohne die Stadt St. Ingbert;Saarland
HOR;HORb;Landkreis Freudenstadt;Baden-Württemberg
HÖS;HÖchStadt;Landkreis Erlangen-Höchstadt;Bayern
HOT;HOhensTein;Landkreis Zwickau;Sachsen
HP;HepPenheim;Kreis Bergstraße;Hessen
HR;HombeRg;Schwalm-Eder-Kreis;Hessen
HRO;Hansestadt ROstock;Stadt Rostock;Mecklenburg-Vorpommern
HS;HeinSberg;Kreis Heinsberg;Nordrhein-Westfalen
HSK;HochSauerlandKreis;Hochsauerlandkreis;Nordrhein-Westfalen
HST;Hansestadt STralsund;Stadt Stralsund (große kreisangehörige Stadt im Landkreis Vorpommern-Rügen);Mecklenburg-Vorpommern
HU;HanaU;Stadt Hanau (Sonderstatusstadt im Main-Kinzig-Kreis), Main-Kinzig-Kreis (übriges Kreisgebiet);Hessen
HV;HaVelberg;Landkreis Stendal;Sachsen-Anhalt
HVL;HaVelLand;Landkreis Havelland;Brandenburg
HWI;Hansestadt WIsmar;Stadt Wismar (große kreisangehörige Stadt im Landkreis Nordwestmecklenburg);Mecklenburg-Vorpommern
HX;HöXter;Kreis Höxter;Nordrhein-Westfalen
HY;HoYerswerda;Landkreis Bautzen;Sachsen
HZ;HarZ;Landkreis Harz;Sachsen-Anhalt
IGB;InGBert;Stadt St. Ingbert (Mittelstadt im Saarpfalz-Kreis);Saarland
IK;Ilm-Kreis;Ilm-Kreis;Thüringen
IL;ILmenau;Ilm-Kreis;Thüringen
ILL;ILLertissen;Landkreis Neu-Ulm;Bayern
IN;INgolstadt;Stadt Ingolstadt;Bayern
IZ;ItZehoe;Kreis Steinburg;Schleswig-Holstein
J;Jena;Stadt Jena;Thüringen
JE;JEssen;Landkreis Wittenberg;Sachsen-Anhalt
JL;Jerichower Land;Landkreis Jerichower Land;Sachsen-Anhalt
JÜL;JÜLich;Kreis Düren;Nordrhein-Westfalen
K;Köln;Stadt Köln;Nordrhein-Westfalen
KA;KArlsruhe;Landkreis Karlsruhe, Stadt Karlsruhe (AA–MZ 100–999 und NA–ZZ 100–9999);Baden-Württemberg
KB;KorBach;Landkreis Waldeck-Frankenberg;Hessen
KC;KronaCh;Landkreis Kronach;Bayern
KE;KEmpten;Stadt Kempten (Allgäu);Bayern
KEH;KElHeim;Landkreis Kelheim;Bayern
KEL;KEhL;Ortenaukreis;Baden-Württemberg
KEM;KEMnath;Landkreis Tirschenreuth, Landkreis Bayreuth (AT, BT, CT, DT, ... YT und ZT 1–99);Bayern
KF;KauFbeuren;Stadt Kaufbeuren;Bayern
KG;KissinGen;Landkreis Bad Kissingen;Bayern
KH;KreuznacH;Landkreis Bad Kreuznach;Rheinland-Pfalz
KI;KIel;Stadt Kiel;Schleswig-Holstein
KIB;KIrchheimBolanden;Donnersbergkreis;Rheinland-Pfalz
KK;Kempen, Krefeld;Kreis Viersen;Nordrhein-Westfalen
KL;KaisersLautern;Stadt Kaiserslautern, Landkreis Kaiserslautern (AA–ZZ 100–999);Rheinland-Pfalz
KLE;KLEve;Kreis Kleve;Nordrhein-Westfalen
KLZ;KLötZe;Altmarkkreis Salzwedel;Sachsen-Anhalt
KM;KaMenz;Landkreis Bautzen;Sachsen
KN;KoNstanz;Landkreis Konstanz ohne die Gemeinde Büsingen am Hochrhein;Baden-Württemberg
KO;KOblenz;Stadt Koblenz;Rheinland-Pfalz
KÖN;KÖNigshofen;Landkreis Rhön-Grabfeld;Bayern
KÖT;KÖThen;Landkreis Anhalt-Bitterfeld;Sachsen-Anhalt
KÖZ;KÖtZting;Landkreis Cham;Bayern
KR;KRefeld;Stadt Krefeld;Nordrhein-Westfalen
KRU;KRUmbach;Landkreis Günzburg;Bayern
KS;KasSel;Landkreis Kassel und Stadt Kassel;Hessen
KT;KiTzingen;Landkreis Kitzingen;Bayern
KU;KUlmbach;Landkreis Kulmbach;Bayern
KÜN;KÜNzelsau;Hohenlohekreis;Baden-Württemberg
KUS;KUSel;Landkreis Kusel;Rheinland-Pfalz
KW;Königs Wusterhausen;Landkreis Dahme-Spreewald;Brandenburg
KY;KYritz;Landkreis Ostprignitz-Ruppin;Brandenburg
KYF;KYFfhäuser;Kyffhäuserkreis;Thüringen
L;Leipzig;Sachsen;Stadt Leipzig (A–T und AA–TZ), Landkreis Leipzig (U–Z und UA–ZZ)
LA;LAndshut;Stadt Landshut, Landkreis Landshut (AA–ZZ 100–999 und 5000–9999);Bayern
